"Customer ID",total_sales
BH-11710,6255.351000000001
IM-15070,4930.473999999999
PK-19075,8158.654
TB-21520,4730.628
MA-17560,4280.620999999999
SN-20710,3127.9592000000007
LC-16930,4481.162
RA-19885,3832.3139999999994
ES-14080,4648.516
KM-16720,4909.472000000001
KD-16270,8282.358
JE-15745,6400.454999999999
SC-20770,4492.656999999999
CS-12400,3651.8585000000007
GM-14455,3078.6240000000003
RB-19465,4556.566000000002
GZ-14470,4355.15
JM-15250,3145.3740000000003
CL-12565,10880.545999999998
SC-20725,5226.209999999998
AD-10180,6100.999999999999
LS-16975,2988.674
LC-16885,7396.7739999999985
JD-15895,6456.456
SG-20080,3406.581
TW-21025,5164.626
DB-13060,4265.294000000002
NP-18670,3896.6420000000003
TT-21070,4915.602
RD-19900,3133.9239999999995
MJ-17740,6282.226
BM-11140,11609.900000000001
JK-15640,4752.442000000001
RM-19675,5967.736
FM-14290,3736.1979999999994
MP-17470,3206.132
CB-12025,6028.226999999999
FH-14365,6683.659999999999
HK-14890,4877.784
JH-15985,7954.998
VW-21775,6112.702
DS-13180,2881.8128
VD-21670,6283.354
DB-13120,2931.718
KL-16645,14071.917
DW-13480,5256.848
KC-16540,3908.2619999999997
DR-12880,6247.205999999999
SB-20290,8057.890999999999
AH-10210,4805.344
CB-12535,4123.5154999999995
KH-16690,5867.859
KL-16555,4483.784
AS-10225,4249
BP-11185,3610.2929999999997
TS-21205,5371.09
SP-20860,4028.588
NM-18445,6459.343999999999
FA-14230,2984.053999999999
GK-14620,6497.27
PO-18850,7367.3342
AB-10060,7732.669999999999
JL-15505,3142.746
KW-16435,4416.52
AG-10900,4510.7970000000005
RA-19915,4781.367000000001
AS-10285,3212.272
LA-16780,8631.521999999999
DK-13225,4125.843999999999
AG-10675,3489.0395999999996
LF-17185,3930.509
KH-16510,5952.859000000002
CJ-12010,11079.742
MP-17965,3983.6420000000003
NF-18385,8322.826000000001
SD-20485,5920.258
KH-16630,3918.966
RB-19795,5633.315999999999
PO-19180,4893.043000000001
BB-11545,6765.727999999999
RB-19360,15117.339
EB-13705,3448.2740000000003
SC-20095,14142.333999999999
TN-21040,3130.221
JP-15520,3572.9440000000004
SA-20830,4708.525500000001
RO-19780,3815.478
MD-17350,3766.382
CM-12385,8954.02
BD-11605,3288.471
MG-18145,2890.591
KB-16240,3152.615
RL-19615,6234.909999999999
EP-13915,5478.0608
BD-11500,4408.2970000000005
BD-11320,5672.171
GT-14710,11820.119999999997
OT-18730,3818.6240000000003
CA-12775,3041.5659999999993
FP-14320,4046.7460000000005
EB-13840,4344.508
SF-20200,3422.785999999999
CS-11950,3027.7549999999997
DV-13465,3285.9870000000005
ZC-21910,8021.135000000001
LR-16915,5142.891999999999
TP-21130,4454.056
CK-12205,3154.855
SF-20965,3306.871
AT-10735,3831.8640000000005
JD-16150,8828.030499999999
JL-15835,9403.003
SC-20305,3971.0639999999994
CC-12430,2870.0500000000006
AR-10825,4523.335999999999
SR-20740,4345.8859999999995
EH-14125,3013.1530000000002
RP-19390,5142.139999999999
DJ-13630,3356.3979999999997
GT-14635,9351.211999999998
MC-17845,3805.714000000001
NP-18325,5529.62
TH-21550,4229.5560000000005
AP-10915,3323.556
RS-19765,3831.93
SV-20365,11420.645999999997
CK-12325,2939.606
YC-21895,5454.35
CP-12340,5888.275000000001
AJ-10795,4391.491
LT-17110,2936.2519999999995
JK-15730,4769.900000000001
ES-14020,3510.4579999999996
RH-19495,3621.3759999999997
HW-14935,9300.253999999997
GM-14440,3582.8199999999997
BW-11110,4750.357999999999
PG-18820,3086.907
BM-11650,7283.817
SJ-20125,3777.8799999999997
AJ-10780,4867.344
PM-19135,4115.662
HL-15040,12873.297999999999
MS-17365,6848.31
BE-11335,4204.6759999999995
SC-20050,4624.572000000001
RW-19630,3273.6499999999996
SE-20110,12209.438000000002
AH-10075,3250.336999999999
KH-16360,3100.6119999999996
JA-15970,6475.474000000001
DL-12925,3272.2000000000003
LW-16990,3230.308
RW-19690,3495.646
SL-20155,3053.012000000001
MW-18235,5253.876
RD-19585,2912.8940000000002
MT-17815,2890.139
JS-15880,3868.02
NS-18640,2964.8229999999994
DG-13300,3195.818
MG-17650,3785.276
CY-12745,2900.026
PS-19045,6843.633999999999
PV-18985,2876.0460000000003
DL-13495,3539.322
CS-12355,3202.1620000000003
FH-14275,4190.704
AA-10315,5563.56
HR-14830,5248.786999999999
SP-20620,5440.319
BF-11170,5907.972
KT-16480,4642.088400000001
GM-14680,3163.628
NP-18700,7903.182500000001
MH-18115,5503.092999999999
SM-20950,5563.392
CC-12220,3902.522
DC-12850,3336.1680000000006
QJ-19255,6108.338
HG-14965,3184.1739999999995
LP-17095,3653.3990000000003
CP-12085,5164.101999999999
AS-10045,3035.0320000000006
ND-18370,4281.389
KT-16465,3057.1
HM-14860,8148.844800000002
SZ-20035,3592.433
JK-16120,2932.4840000000004
PP-18955,7075.920000000002
YS-21880,6654.503999999999
KM-16375,5609.746
AB-10105,14355.610999999997
RW-19540,7397.401000000001
DK-12835,3253.5340000000006
MM-17920,3794.08
PW-19030,3454.916
MC-17425,4432.138
ME-17320,10635.917999999998
KD-16495,8181.256
CS-12505,5690.054999999999
MS-17770,3138.5819999999994
CM-12655,6339.5576
TS-21370,11885.871
JW-15220,7721.714
AR-10540,6608.448
AI-10855,4375.785999999999
TB-21400,9012.741999999998
GH-14425,3925.742
MP-18175,5087.92
DB-13270,4621.656999999999
TT-21460,5364.808000000001
MY-18295,4134.396000000001
RD-19480,3743.03
DP-13390,5480.723999999999
JG-15160,6366.391999999999
NW-18400,7234.013999999999
BS-11380,3379.1299999999997
SW-20455,2921.544
JK-15205,4278.17
ED-13885,3484.92
JE-15610,7754.976
TB-21175,3579.024
JF-15565,4198.332
BT-11680,3196.7520000000004
ND-18460,2893.455
KH-16330,3312.864
AS-10090,3255.3099999999995
AC-10450,5527.8460000000005
EH-13765,10005.980000000001
SC-20230,4371.9580000000005
JE-15715,8672.163
LW-17215,5420.513999999999
AM-10705,5653.861999999999
RH-19510,6962.14
CT-11995,3241.898000000001
TC-20980,19017.847999999998
BS-11665,3288.11
RF-19345,3309.1500000000005
WB-21850,6024.81
KF-16285,10604.266
IL-15100,5040.736
ML-17410,2921.499999999999
DB-13555,3908.8028
DK-13375,3318.4859999999994
TG-21310,3058.3720000000003
MW-18220,5341.9
SM-20320,25043.05
TP-21415,5329.0048
JK-15625,3760.028
RS-19420,3221.29
BC-11125,2933.6759999999995
SC-20260,3729.7929999999997
BF-11020,2865.786
SG-20605,3116.9760000000006
TM-21010,2953.986
PW-19240,3878.3149999999996
SC-20380,5894.183999999999
GM-14695,6049.966000000002
JM-15865,7625.076000000002
TA-21385,14595.62
HG-15025,3690.284
RR-19525,3302.262
TC-21295,4261.852
SV-20785,4105.305
EB-13750,3166.882
GA-14515,3919.7760000000003
Dp-13240,7198.760999999999
MH-18025,2984.9480000000003
DR-12940,8350.868
DM-13015,6247.372
CA-11965,3789.7228
DM-13345,4074.4720000000007
CC-12370,12129.072
EM-14140,4438.331999999999
GB-14575,4594.328
SR-20425,3233.481
EB-14110,3071.1259999999997
LB-16795,4704.304000000001
DH-13075,4932.871999999999
JO-15145,3254.9490000000005
AH-10690,7888.294000000001
SC-20020,3362.9635999999996
FC-14335,3865.845999999999
NC-18535,8241.739
PF-19120,8980.496
SP-20920,3990.6890000000003
DK-12895,3943.0399999999995
AA-10645,4455.895
BS-11365,10501.652999999998
SS-20410,3056.807
FC-14245,3414.678
TH-21115,2942.772
JK-16090,3747.6680000000006
SB-20185,6410.995999999999
TS-21655,3368.093999999999
VP-21760,3193.6059999999998
CM-12715,3984.4524
LC-16960,3246.626
