"Customer ID",Sales,dense_rank_num
SM-20320,22638.48,1
TC-20980,17499.95,2
RB-19360,13999.96,3
TA-21385,11199.968,4
HL-15040,10499.97,5
AB-10105,9892.74,6
SC-20095,9449.95,7
BS-11365,9099.93,8
SE-20110,8749.95,9
CC-12370,8399.976,10
KL-16645,8187.65,11
BM-11140,8159.952,12
GT-14635,7999.98,13
TB-21400,6999.96,14
CM-12385,6354.95,15
AR-10540,5443.96,16
DR-12940,5399.91,17
TS-21370,5199.96,18
JW-15220,5083.96,19
EH-13765,4912.59,20
KD-16270,4899.93,21
HM-14860,4899.93,21
NC-18535,4799.984,22
JA-15970,4663.736,23
KD-16495,4643.8,24
JM-15865,4548.81,25
DP-13390,4535.976,26
CS-12505,4499.985,27
MJ-17740,4476.8,28
TP-21415,4416.174,29
QJ-19255,4404.9,30
PO-18850,4367.896,31
AB-10060,4355.168,32
PK-19075,4305.552,33
JH-15985,4297.644,34
PF-19120,4228.704,35
GM-14695,4164.05,36
CP-12085,4164.05,36
KF-16285,4158.912,37
GT-14710,4007.84,38
CJ-12010,3999.95,39
NM-18445,3991.98,40
AA-10315,3930.072,41
SD-20485,3812.97,42
LW-17215,3785.292,43
NP-18700,3610.848,44
LA-16780,3504.9,45
KH-16690,3499.93,46
MS-17365,3406.664,47
SR-20740,3404.5,48
EB-13840,3393.68,49
PS-19045,3359.952,50
RH-19510,3357.6,51
KC-16540,3347.37,52
GH-14425,3266.376,53
FH-14365,3149.93,54
TB-21520,3083.43,55
KW-16435,3080,56
SB-20290,3059.982,57
BW-11110,3059.982,57
LC-16885,3050.376,58
MC-17425,3040,59
ME-17320,3023.928,60
AD-10180,2999.95,61
JE-15610,2999.95,61
SB-20185,2973.32,62
BD-11500,2939.93,63
YC-21895,2934.33,64
SV-20365,2888.127,65
SC-20230,2887.056,66
RM-19675,2879.952,67
RP-19390,2807.84,68
CJ-12010,2803.92,69
SC-20305,2803.92,69
IM-15055,2799.96,70
TS-21370,2799.96,70
CC-12370,2799.96,70
DM-13015,2799.96,70
NW-18400,2799.944,71
YS-21880,2793.528,72
SA-20830,2735.952,73
MW-18235,2715.93,74
DM-13345,2690.97,75
AS-10285,2678.94,76
LC-16960,2676.672,77
SF-20200,2665.62,78
AT-10735,2625.12,79
JL-15835,2624.985,80
ED-13885,2621.322,81
KF-16285,2591.56,82
GK-14620,2575.944,83
ME-17320,2573.82,84
BD-11320,2567.84,85
JE-15715,2563.056,86
SR-20425,2549.985,87
CL-12565,2548.56,88
PW-19240,2541.98,89
SB-20290,2519.958,90
RW-19540,2518.29,91
JD-16150,2504.74,92
JK-16090,2479.96,93
JE-15745,2453.43,94
MT-17815,2430.08,95
HW-14935,2405.2,96
TT-21070,2404.704,97
HR-14830,2399.96,98
HK-14890,2399.96,98
TA-21385,2399.6,99
LC-16930,2396.4,100
AG-10675,2396.2656,101
JK-15640,2395.2,102
ES-14020,2357.488,103
PP-18955,2348.82,104
Dp-13240,2321.9,105
Dp-13240,2314.116,106
RH-19495,2309.65,107
CM-12655,2279.96,108
AH-10690,2275.5,109
SV-20365,2254.41,110
TB-21175,2249.91,111
PM-19135,2249.91,111
PS-19045,2244.48,112
TS-21205,2239.936,113
LF-17185,2177.584,114
NP-18670,2154.9,115
GT-14710,2152.776,116
JD-15895,2104.55,117
DB-13270,2079.4,118
RB-19795,2065.32,119
JH-15985,2060.744,120
KF-16285,2054.272,121
AB-10060,2036.86,122
MZ-17515,2033.584,123
NF-18385,2025.36,124
CM-12385,2022.272,125
PF-19120,2003.92,126
TW-21025,2003.92,126
CM-12160,2003.52,127
LP-17095,2003.168,128
DW-13480,2001.86,129
HG-15025,1999.96,130
CA-11965,1999.96,130
RA-19915,1983.968,131
KL-16645,1979.928,132
DG-13300,1979.89,133
AH-10690,1979.7,134
JE-16165,1951.84,135
SP-20620,1931.958,136
ND-18370,1931.04,137
BE-11335,1928.78,138
FC-14245,1927.59,139
HW-14935,1925.88,140
RW-19690,1924.16,141
CC-12145,1919.976,142
MW-18235,1919.976,142
TW-21025,1913.4,143
HG-14965,1889.99,144
JL-15835,1889.946,145
TT-21460,1879.96,146
JM-15865,1879.96,146
VP-21760,1875.258,147
JK-15205,1871.88,148
SC-20050,1856.19,149
IM-15070,1819.86,150
CL-12565,1805.88,151
DL-13495,1801.632,152
SM-20950,1801.632,152
JD-15790,1801.632,152
NF-18385,1799.994,153
JG-15115,1799.97,154
KT-16480,1799.97,154
MS-17365,1799.75,155
AC-10450,1793.98,156
GK-14620,1793.98,156
SC-20095,1793.98,156
SC-20380,1781.682,157
BB-11545,1779.9,158
JE-15715,1747.25,159
BM-11140,1740.06,160
AJ-10780,1737.18,161
TT-21460,1718.4,162
BH-11710,1706.184,163
CM-12655,1704.89,164
DJ-13630,1704.56,165
JK-15205,1702.12,166
GB-14575,1690.04,167
JK-15640,1687.8,168
KM-16375,1687.8,168
LW-16990,1685.88,169
SP-20860,1684.752,170
AI-10855,1679.96,171
RD-19480,1676.88,172
CR-12580,1673.184,173
MC-17845,1669.6,174
AC-10450,1665.62,175
MP-17965,1652.94,176
MM-17920,1652.94,176
NM-18520,1649.95,177
GZ-14545,1649.95,177
BE-11410,1649.75,178
RM-19675,1640.7,179
FC-14335,1640.7,179
TH-21550,1633.188,180
BM-11650,1633.14,181
SC-20380,1628.82,182
TC-21295,1628.82,182
AR-10825,1626.192,183
SG-20605,1619.91,184
JS-15880,1618.37,185
DC-12850,1614.582,186
RH-19510,1606.23,187
AM-10705,1604.9,188
